2026-05-01 02:18:23,636 [MCA-SWEEP] INFO -   CT offset 236000: 2000 records, 0 new MCA leads
2026-05-01 02:18:26,373 [MCA-SWEEP] INFO -   CT offset 238000: 2000 records, 0 new MCA leads
2026-05-01 02:18:28,427 [MCA-SWEEP] INFO -   CT offset 240000: 2000 records, 0 new MCA leads
2026-05-01 02:18:30,542 [MCA-SWEEP] INFO -   CT offset 242000: 2000 records, 0 new MCA leads
2026-05-01 02:18:32,603 [MCA-SWEEP] INFO -   CT offset 244000: 2000 records, 0 new MCA leads
2026-05-01 02:18:34,460 [MCA-SWEEP] INFO -   CT offset 246000: 2000 records, 0 new MCA leads
2026-05-01 02:18:36,359 [MCA-SWEEP] INFO -   CT offset 248000: 2000 records, 0 new MCA leads
2026-05-01 02:18:38,991 [MCA-SWEEP] INFO -   CT offset 250000: 2000 records, 0 new MCA leads
2026-05-01 02:18:40,940 [MCA-SWEEP] INFO -   CT offset 252000: 2000 records, 0 new MCA leads
2026-05-01 02:18:42,752 [MCA-SWEEP] INFO -   CT offset 254000: 2000 records, 0 new MCA leads
2026-05-01 02:18:44,609 [MCA-SWEEP] INFO -   CT offset 256000: 2000 records, 0 new MCA leads
2026-05-01 02:18:46,879 [MCA-SWEEP] INFO -   CT offset 258000: 2000 records, 0 new MCA leads
2026-05-01 02:18:49,087 [MCA-SWEEP] INFO -   CT offset 260000: 2000 records, 0 new MCA leads
2026-05-01 02:18:51,223 [MCA-SWEEP] INFO -   CT offset 262000: 2000 records, 0 new MCA leads
2026-05-01 02:18:53,310 [MCA-SWEEP] INFO -   CT offset 264000: 2000 records, 0 new MCA leads
2026-05-01 02:18:55,303 [MCA-SWEEP] INFO -   CT offset 266000: 2000 records, 0 new MCA leads
2026-05-01 02:18:57,325 [MCA-SWEEP] INFO -   CT offset 268000: 2000 records, 0 new MCA leads
2026-05-01 02:18:59,546 [MCA-SWEEP] INFO -   CT offset 270000: 2000 records, 0 new MCA leads
2026-05-01 02:19:02,266 [MCA-SWEEP] INFO -   CT offset 272000: 2000 records, 0 new MCA leads
2026-05-01 02:19:05,050 [MCA-SWEEP] INFO -   CT offset 274000: 2000 records, 0 new MCA leads
2026-05-01 02:19:07,092 [MCA-SWEEP] INFO -   CT offset 276000: 2000 records, 0 new MCA leads
2026-05-01 02:19:09,102 [MCA-SWEEP] INFO -   CT offset 278000: 2000 records, 0 new MCA leads
